price,possibleNewPrice,priceIncreaseProbability
5.13,133.56,0.076454
97.97,104.35,0.837693
72.31,121.51,0.553765
94.52,193.97,0.220754
59.35,42.48,0.757206
14.88,162.87,0.33099
17.86,84.36,0.026356
10.03,123.27,0.285504
95.05,38.22,0.213661
95.63,21.87,0.211921
54.24,188.4,0.132392
92.25,170.78,0.10094
55.69,102.92,0.119964
85.38,133.99,5.07E-4
11.32,135.23,0.728814
39.9,140.08,0.746871
59.52,122.12,0.212734
17.75,79.64,0.314624
19.92,90.98,0.932703
79.64,33.01,0.026319
58.96,100.9,0.235724
71.65,50.41,0.082522
43.28,1.79,0.232729
78.45,23.09,0.866944
64.5,151.6,0.233773
