price,possibleNewPrice,priceIncreaseProbability
41.18,93.12,0.481277
14.27,67.27,0.968644
77.34,138.75,0.316078
46.39,106.16,0.413867
81.88,131.9,0.210633
50.69,150.18,0.178519
2.12,144.22,0.347848
30.22,58.01,0.967801
5.16,111.02,0.726793
68.25,27.75,0.868777
19.91,157.58,0.491139
17.89,36.66,0.353949
70.99,182.0,0.95346
19.46,47.87,0.590537
71.37,38.51,0.305318
45.3,32.21,0.730814
16.24,4.39,0.051029
86.06,96.99,0.562454
88.19,162.42,0.003989
56.95,168.97,0.204717
84.19,76.04,0.13801
22.24,31.73,0.150493
80.26,73.71,0.763513
6.19,87.62,0.37664
87.93,48.65,0.89272
92.93,8.08,0.023683
31.72,85.57,0.434428
72.25,90.84,0.125406
2.78,173.52,0.104189
84.46,183.58,0.440774
58.23,86.69,0.908793
71.74,117.5,0.793537
37.05,7.91,0.445325
87.07,164.84,0.69402
23.85,135.76,0.397452
19.15,167.24,0.935304
93.65,17.94,0.789211
4.75,38.57,0.401334
21.72,163.68,0.215943
51.85,22.34,0.373406
7.88,136.94,0.281054
38.92,58.98,0.096858
87.26,61.78,0.366257
80.47,7.58,0.491365
28.92,81.24,0.113609
17.5,67.49,0.422536
37.47,10.73,0.23386
55.29,91.78,0.463153
3.89,85.84,0.533044
0.16,93.11,0.169552
13.14,100.59,0.095407
53.62,65.92,0.489708
24.53,102.81,0.025025
84.7,122.26,0.458553
44.06,106.67,0.852252
91.34,33.02,0.073943
6.27,3.61,0.897438
67.56,136.81,0.481348
59.76,118.61,0.46838
45.09,13.92,0.92148
89.79,144.04,0.586492
74.15,196.98,0.454319
30.03,172.39,0.998585
38.61,110.74,0.203788
83.56,186.58,0.967054
71.42,193.23,0.755086
40.83,104.82,0.843709
98.4,176.36,0.663539
4.5,129.75,0.74593
6.88,106.82,0.628972
91.46,139.92,0.964475
20.04,113.25,0.378942
21.77,67.96,0.658384
83.59,3.39,0.360639
39.29,24.2,0.223935
6.89,169.18,0.934436
65.51,97.31,0.673572
80.86,137.2,0.408782
17.06,54.84,0.810758
47.47,109.82,0.269588
29.15,194.42,0.743631
65.09,65.76,0.698066
7.03,90.11,0.821598
87.34,129.78,0.596161
69.58,24.74,0.804047
3.6,165.47,0.052524
73.89,195.81,0.550455
24.55,13.93,0.485261
94.95,85.93,0.749512
98.04,198.22,0.638439
36.07,164.28,0.846481
15.66,179.46,0.532119
24.19,158.83,0.969826
91.01,7.58,0.262251
91.71,144.63,0.058848
21.81,17.37,0.905494
6.59,124.95,0.73453
72.02,19.91,0.440323
11.86,42.88,0.588322
50.82,7.86,0.581815
3.22,14.33,0.262759
14.93,191.91,0.322465
69.03,190.51,0.909882
62.28,9.97,0.151152
54.3,70.92,0.706458
19.7,180.26,0.809862
84.08,37.36,0.119213
98.23,119.2,0.762697
89.31,65.4,0.510419
6.83,12.83,0.560627
48.86,102.1,0.588124
81.56,149.85,0.051917
77.75,46.32,0.69172
21.61,12.53,0.022464
15.61,108.6,0.189919
88.63,130.25,0.759654
69.5,0.24,0.503974
49.95,166.08,0.171988
37.26,150.97,0.775484
50.93,199.0,0.2154
33.87,90.34,0.71843
25.08,139.22,0.27402
95.17,63.06,0.144311
73.81,159.74,0.912607
76.27,60.26,0.364297
17.49,118.52,0.701711
62.71,119.95,0.661926
77.16,89.05,0.053337
90.14,26.15,0.224765
47.23,6.7,0.679666
24.2,169.33,0.926155
65.19,199.2,0.182684
90.46,34.61,0.683052
39.09,14.49,0.727244
99.39,80.17,0.479384
17.71,32.08,0.870359
72.67,38.05,0.654423
56.86,176.39,0.588019
13.49,3.89,0.502461
66.56,4.96,0.827444
48.07,131.32,0.325445
3.13,171.14,0.533924
2.28,170.13,0.708098
74.96,141.3,0.870784
23.37,4.38,0.25087
55.27,49.82,0.128881
50.13,184.56,0.277616
77.03,101.21,0.765606
17.65,196.13,0.031391
27.34,65.09,0.826769
27.37,60.65,0.654603
58.25,176.46,0.188904
45.57,82.51,0.312091
0.88,155.0,0.162366
20.35,100.19,0.322524
65.46,133.93,0.861766
40.11,0.08,0.201792
54.88,162.76,0.771438
34.76,39.04,0.350568
27.25,78.79,0.298249
42.17,91.79,0.41758
47.56,171.25,0.047435
98.74,195.34,0.492959
42.49,65.63,0.611568
47.71,166.92,0.506658
58.64,196.65,0.907317
97.89,96.34,0.971726
55.41,10.4,0.405279
75.95,90.71,0.38927
91.64,120.12,0.897778
39.44,18.38,0.761366
81.39,150.55,0.957791
4.12,161.48,0.201782
60.94,140.11,0.725712
66.82,50.97,0.226095
77.2,62.86,0.682984
6.02,194.3,0.998134
47.45,199.44,0.24305
29.87,91.68,0.336317
63.76,80.41,0.217827
32.18,10.14,0.290691
1.15,182.63,0.956103
58.77,192.63,0.410722
7.72,49.96,0.449859
79.93,127.88,0.678167
96.36,188.08,0.263396
92.45,112.52,0.393842
51.52,140.3,0.353015
21.32,74.36,0.918595
8.68,58.33,0.853441
73.72,179.83,0.086164
48.44,49.33,0.649717
85.56,63.17,0.759477
79.28,198.63,0.015258
44.97,43.22,0.494862
11.08,64.79,0.060308
31.38,48.48,0.635043
63.63,129.7,0.029447
58.39,174.77,0.56792
17.67,7.89,0.237818
92.27,133.05,0.982195
27.44,5.4,0.316413
55.09,99.15,0.012932
41.0,133.94,0.416725
34.59,2.84,0.412022
52.74,79.16,0.620895
66.4,49.17,0.684044
69.49,175.91,0.328771
35.45,70.82,0.302927
51.46,25.08,0.20823
49.54,93.21,0.146522
79.33,99.08,0.057077
62.52,143.33,0.554193
52.78,110.65,0.837826
87.89,144.53,0.498142
89.75,184.5,0.211696
23.87,70.29,0.255471
33.57,77.32,0.163099
63.53,45.36,0.340045
91.78,178.31,0.115423
49.89,8.42,0.888006
99.12,13.65,0.184685
46.41,120.52,0.946993
82.9,31.53,0.588088
74.04,12.55,0.377502
93.0,102.79,0.455007
40.99,15.75,0.18786
66.79,11.42,0.41072
91.85,74.83,0.866405
21.6,91.94,0.897334
86.34,75.12,0.591989
88.22,90.57,0.637882
0.97,55.78,0.464969
19.27,65.77,0.361237
21.13,170.18,0.145466
68.87,114.14,0.607158
56.74,192.87,0.475829
55.34,9.47,0.388918
98.73,169.91,0.933631
89.2,107.88,0.769161
19.56,33.96,0.665895
93.59,118.83,0.113139
71.86,136.29,0.622099
26.19,21.61,0.32962
20.99,122.59,0.082252
58.81,55.71,0.747547
58.73,44.42,0.988291
4.71,2.32,0.156996
35.95,160.7,0.675325
42.97,156.93,0.763966
55.67,159.27,0.278966
53.74,160.82,0.46476
17.93,91.86,0.602959
96.57,182.72,0.578768
72.5,152.77,0.07646
75.6,132.79,0.426872
33.06,184.26,0.543116
97.22,138.12,0.391727
38.47,15.49,0.607314
38.08,141.95,0.128152
17.46,147.32,0.640789
69.23,16.41,0.735794
56.9,6.5,0.021704
85.51,148.37,0.08818
79.78,189.83,0.856307
43.61,198.36,0.305028
76.93,92.85,0.110571
35.04,8.36,0.027985
78.25,119.49,0.467558
97.81,94.24,0.730451
99.65,157.04,0.209543
79.41,185.73,0.573235
17.87,95.21,0.30778
99.22,37.76,0.169879
44.95,96.26,0.664771
56.37,35.15,0.205776
39.26,73.09,0.993385
95.22,31.81,0.867833
73.38,1.39,0.205471
68.69,28.78,0.987296
6.11,135.95,0.912929
45.75,105.52,0.225421
84.65,86.94,0.881479
46.58,116.19,0.38456
42.5,163.46,0.108637
82.02,170.5,0.397603
1.35,144.66,0.881342
36.33,95.4,0.925048
25.78,86.0,0.386058
96.93,160.96,0.006561
92.63,14.15,0.547434
76.2,29.2,0.405037
3.64,70.53,0.035211
29.09,108.71,0.224938
98.04,103.12,0.249333
80.96,166.07,0.959028
76.99,10.08,0.438233
93.2,37.99,0.241461
76.87,147.86,0.465142
2.53,119.15,0.480138
72.5,31.09,0.573875
34.4,168.96,0.974067
32.49,181.2,0.452707
63.39,19.24,0.655447
19.87,193.77,0.008285
43.83,90.39,0.841868
44.88,71.01,0.268614
74.09,189.33,0.248478
49.98,140.7,0.384383
66.58,103.08,0.447385
87.7,6.13,0.612599
44.28,188.3,0.222893
40.27,147.42,0.688721
61.17,45.1,0.154247
8.7,140.01,0.038495
79.98,40.43,0.857165
53.38,46.16,0.68509
32.5,188.07,0.773092
13.87,53.89,0.480028
26.72,105.02,0.14937
43.92,30.02,0.858217
57.17,41.14,0.889686
17.24,171.91,0.790782
70.28,146.99,0.554447
46.86,199.78,0.008767
51.32,114.75,0.784352
98.63,149.84,0.092376
42.26,144.19,0.433155
8.59,89.1,0.282446
96.91,81.14,0.400536
51.47,166.99,0.163353
98.67,11.54,0.522639
78.87,96.43,0.901368
42.52,121.67,0.422922
2.44,177.88,0.883535
44.11,134.49,0.262926
48.49,162.73,0.194949
29.15,173.2,0.221772
43.1,125.34,0.874542
63.43,185.84,0.931826
93.24,164.52,0.70043
60.28,76.63,0.210219
31.89,81.56,0.946947
96.3,150.24,0.252648
70.06,139.76,0.119755
38.89,90.11,0.045019
2.24,65.91,0.777953
48.04,199.38,0.44479
5.87,32.03,0.779851
31.53,58.01,0.078812
49.35,90.79,0.400762
72.24,49.01,0.586669
23.69,124.32,0.947493
91.61,123.47,0.543237
64.58,6.75,0.587753
87.5,84.81,0.653649
63.75,138.54,0.897757
80.32,38.49,0.107279
41.6,157.73,0.054314
1.56,69.89,0.680506
80.5,100.81,0.026692
64.5,59.97,0.714009
93.71,115.02,0.598656
11.54,40.22,0.178656
28.04,114.6,0.534172
45.7,123.26,0.951432
95.89,35.53,0.825163
28.78,57.23,0.212781
88.49,145.31,0.282005
84.2,57.23,0.65943
98.96,85.27,0.974808
40.95,18.12,0.409642
48.18,199.3,0.355219
25.67,45.25,0.014848
56.1,83.34,0.605889
72.58,124.75,0.633792
